Country                 ,Population,Density,Land Area,Median Age,Urban %
Monaco                  ,39242     ,26337  ,1        ,-1        ,-1
Turks and Caicos        ,38717     ,41     ,950      ,-1        ,89
Saint Martin            ,38666     ,730    ,53       ,-1        ,0
Liechtenstein           ,38128     ,238    ,160      ,-1        ,15
San Marino              ,33931     ,566    ,60       ,-1        ,97
Gibraltar               ,33691     ,3369   ,10       ,-1        ,-1
British Virgin Islands  ,30231     ,202    ,150      ,-1        ,52
Caribbean Netherlands   ,26223     ,80     ,328      ,-1        ,75
Palau                   ,18094     ,39     ,460      ,-1        ,-1
Cook Islands            ,17564     ,73     ,240      ,-1        ,75
Anguilla                ,15003     ,167    ,90       ,-1        ,-1
Tuvalu                  ,11792     ,393    ,30       ,-1        ,62
Wallis & Futuna         ,11239     ,80     ,140      ,-1        ,0
Nauru                   ,10824     ,541    ,20       ,-1        ,-1
Saint Barthelemy        ,9877      ,470    ,21       ,-1        ,0
Saint Helena            ,6077      ,16     ,390      ,-1        ,27
Saint Pierre & Miquelon ,5794      ,25     ,230      ,-1        ,100
Montserrat              ,4992      ,50     ,100      ,-1        ,10
Falkland Islands        ,3480      ,0      ,12170    ,-1        ,66
Niue                    ,1626      ,6      ,260      ,-1        ,46
Tokelau                 ,1357      ,136    ,10       ,-1        ,0
Holy See                ,801       ,2003   ,0        ,-1        ,-1
